1,Away,Crystal Palace,Everton Home,4,Y,77,8,3,4,0,1,0,0,3,0,2,0,1,0,0,36,44,81.8,535,174,18,20,90,14,17,82.4,2,5,40,1,0.1,0.2,2,0,1,0,2,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,26,32,81.3,294,54,17,19,89.5,5,6,83.3,0,2,0,0,0.1,0.2,2,1,0,0,1,4,2,1,1,2,1,4,25,3,0,0,0,1,5,0,0,-3
2,Home,Leicester City,Crystal Palace Away,2,Y,90,3,1,1,0,0,1,0,1,0,1,0,0,0,0,25,35,71.4,292,74,16,19,84.2,3,7,42.9,1,4,25,0,0,0.1,0,1,0,0,1,2,1,2,0,0,0,1,0,1,3,0,3,0,2,2,0,84,4,3,0,0,0,1,0,0,0,0,0,0,0,0,20,27,74.1,344,50,10,13,76.9,10,11,90.9,0,2,0,0,0.1,0.1,2,0,1,0,2,4,2,2,1,1,1,1,100,0,1,0,1,2,6,1,0,2
3,Away,Bournemouth,Leicester City Home,2,Y,83,5,4,0,0,1,0,0,1,1,0,0,0,0,0,28,34,82.4,395,104,16,18,88.9,6,6,100,2,2,100,0,0.3,0.3,3,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,77,3,2,1,0,0,0,0,0,0,0,0,0,0,0,29,39,74.4,418,98,19,21,90.5,7,11,63.6,2,5,40,0,0.4,0.4,2,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,2,0,1,0,2,
4,Home,Fulham,Bournemouth Away,3,Y,87,3,2,1,0,0,0,0,1,1,0,0,0,0,0,36,41,87.8,457,130,24,27,88.9,8,9,88.9,1,2,50,0,0.2,0.1,2,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,4,1,0,90,7,4,1,1,0,1,0,0,0,0,0,0,0,0,32,39,82.1,526,146,16,19,84.2,14,15,93.3,2,3,66.7,0,0.1,0.3,1,2,3,0,5,1,1,0,1,0,0,2,0,2,1,0,1,0,1,2,0,2
5,Home,Aston Villa,Fulham Home,1,Y,90,3,2,0,0,1,0,0,1,1,0,0,0,0,0,39,49,79.6,618,119,23,26,88.5,12,13,92.3,4,6,66.7,1,0.2,0.1,2,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,0,68,4,4,0,0,0,0,0,0,0,0,0,0,0,0,21,31,67.7,305,61,8,10,80,8,12,66.7,2,4,50,0,0.8,0.4,2,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,1,1,2,1,0,1
6,Away,Manchester Utd,Aston Villa Home,1,Y,87,5,2,2,0,1,0,0,1,1,0,0,0,0,0,28,34,82.4,423,125,18,19,94.7,7,9,77.8,3,6,50,1,0.3,0.3,3,3,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,73,4,1,0,0,2,1,0,2,0,0,0,1,1,0,23,29,79.3,342,45,12,13,92.3,11,13,84.6,0,0,0,0,0,0,1,2,0,0,2,2,1,2,0,0,1,2,50,1,1,0,1,0,2,0,0,2
7,Away,Brentford,Manchester Utd Away,-2,Y,90,3,2,1,0,0,0,0,0,0,0,0,0,0,0,24,34,70.6,418,76,15,19,78.9,5,8,62.5,4,5,80,0,0,0.1,1,0,3,0,3,2,1,0,0,2,1,2,50,1,0,0,0,0,2,0,0,90,5,4,1,0,0,0,0,1,1,0,0,0,0,0,37,49,75.5,597,137,23,29,79.3,10,13,76.9,4,6,66.7,0,0.1,0.1,1,1,2,1,3,2,1,0,2,0,0,1,0,1,0,0,0,0,2,0,0,1
8,Home,Tottenham,Brentford Away,3,Y,89,4,3,1,0,0,0,0,2,1,1,0,0,0,0,42,47,89.4,540,113,32,34,94.1,8,8,100,2,3,66.7,2,0.3,0.1,3,3,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,1,3,1,0,90,4,3,0,1,0,0,0,0,0,0,0,0,0,0,17,26,65.4,234,46,10,12,83.3,7,12,58.3,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,-3
9,Home,Liverpool,Tottenham Home,2,Y,90,9,8,0,0,1,0,0,2,1,0,0,1,0,0,33,41,80.5,566,115,18,19,94.7,12,13,92.3,3,5,60,0,0.3,0.2,5,0,4,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,2,0,73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,21,71.4,214,15,9,10,90,4,7,57.1,1,2,50,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2
10,Away,Leeds United,Liverpool Home,1,Y,89,4,1,0,0,2,0,1,1,1,0,0,0,0,0,18,24,75,255,45,13,15,86.7,4,5,80,1,3,33.3,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,1,2,1,0,77,6,6,0,0,0,0,0,1,1,0,0,0,0,0,16,25,64,193,44,11,16,68.8,5,5,100,0,1,0,0,0.1,0.1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3
11,Away,Southampton,Leeds United Away,1,Y,81,2,1,1,0,0,0,0,1,1,0,0,0,0,0,16,27,59.3,240,48,9,12,75,5,7,71.4,1,2,50,0,0.1,0.1,1,0,0,0,0,1,1,1,0,0,1,1,100,0,1,0,1,0,1,1,0,90,7,5,1,1,0,0,0,0,0,0,0,0,0,0,37,46,80.4,511,129,22,24,91.7,11,13,84.6,1,4,25,0,0.2,0.1,4,2,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,-1
12,Home,Nott'ham Forest,Southampton Away,0,Y,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,33,69.7,384,86,10,13,76.9,11,12,91.7,2,5,40,0,0,0,0,0,0,0,1,2,2,0,2,0,0,2,0,2,1,0,1,2,4,0,0,90,3,3,0,0,0,0,0,2,2,0,0,0,0,0,37,50,74,458,96,27,29,93.1,9,16,56.3,0,1,0,1,0.1,0.1,2,2,3,0,6,2,2,0,2,0,1,3,33.3,2,2,0,2,2,4,0,0,1
13,Away,Chelsea,Nott'ham Forest Home,5,Y,26,5,5,0,0,0,0,0,1,1,0,0,0,0,0,15,20,75,229,50,11,13,84.6,3,4,75,1,2,50,1,0.2,0.1,3,0,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,89,5,2,0,1,1,1,0,2,1,0,0,0,1,0,20,29,69,210,64,15,16,93.8,4,6,66.7,0,3,0,0,0.1,0.1,1,1,1,0,3,1,1,1,0,0,0,1,0,1,1,0,1,4,5,1,0,
14,Away,Wolves,Chelsea Away,1,Y,90,4,2,2,0,0,0,0,1,0,1,0,0,0,0,34,47,72.3,474,145,22,23,95.7,8,15,53.3,3,6,50,1,0.9,0.1,3,3,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,90,7,5,1,0,1,0,0,0,0,0,0,0,0,0,19,30,63.3,239,91,16,20,80,2,6,33.3,1,2,50,0,0.7,0.6,6,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
15,Home,West Ham,Wolves Away,2,Y,89,5,4,1,0,0,0,0,0,0,0,0,0,0,0,40,46,87,624,128,25,25,100,10,13,76.9,5,7,71.4,0,0.3,0.2,3,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,3,1,2,0,0,0,0,2,0,2,0,0,0,0,19,24,79.2,278,80,9,10,90,7,8,87.5,2,5,40,1,0.2,0.2,2,0,0,0,0,2,1,1,1,0,1,1,100,0,2,0,2,1,3,2,0,1
16,Away,Brighton,West Ham Home,2,Y,90,5,4,1,0,0,0,0,0,0,0,0,0,0,0,29,38,76.3,469,144,16,19,84.2,9,10,90,4,8,50,0,0.7,0.3,4,1,4,1,4,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,0,90,9,7,1,1,0,0,0,0,0,0,0,0,0,0,29,38,76.3,535,179,11,14,78.6,14,18,77.8,4,5,80,0,0.6,0.9,5,3,2,1,6,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,-1
17,Home,Newcastle Utd,Brighton Away,2,Y,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,19,47.4,114,30,5,10,50,3,5,60,0,2,0,0,0.1,0.1,1,0,1,0,1,4,2,2,2,0,0,0,0,0,1,0,1,2,6,2,0,90,3,1,1,0,1,0,0,0,0,0,0,0,0,0,15,21,71.4,252,73,11,11,100,2,4,50,2,4,50,0,0.1,0.3,1,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,-2
18,Away,Tottenham,Newcastle Utd Home,0,Y,90,6,5,0,0,0,1,0,0,0,0,0,0,0,0,26,35,74.3,431,98,13,15,86.7,12,15,80,1,2,50,0,0.1,0.1,3,1,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,90,9,8,0,0,1,0,0,2,1,0,0,1,0,0,33,41,80.5,566,115,18,19,94.7,12,13,92.3,3,5,60,0,0.3,0.2,5,0,4,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,2,0,2
19,Home,Manchester Utd,Tottenham Away,2,Y,90,4,3,0,0,0,1,0,1,1,0,0,0,0,0,28,38,73.7,352,75,21,26,80.8,6,6,100,0,4,0,1,0.1,0.1,2,2,1,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,90,3,2,1,0,0,0,0,0,0,0,0,0,0,0,24,34,70.6,418,76,15,19,78.9,5,8,62.5,4,5,80,0,0,0.1,1,0,3,0,3,2,1,0,0,2,1,2,50,1,0,0,0,0,2,0,0,-2
20,Away,Everton,Manchester Utd Home,1,Y,90,9,5,1,1,1,1,0,1,1,0,0,0,0,0,39,53,73.6,650,175,21,24,87.5,13,16,81.3,4,6,66.7,0,0.4,0.5,4,2,1,0,3,1,0,1,0,0,1,1,100,0,1,0,1,0,1,0,0,77,8,3,4,0,1,0,0,3,0,2,0,1,0,0,36,44,81.8,535,174,18,20,90,14,17,82.4,2,5,40,1,0.1,0.2,2,0,1,0,2,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0,4
21,Home,Brentford,Everton Away,-1,Y,90,7,4,2,0,1,0,0,0,0,0,0,0,0,0,40,49,81.6,529,95,23,24,95.8,10,14,71.4,2,4,50,0,0.3,0.1,4,0,2,0,3,1,1,0,1,0,1,1,100,0,2,0,2,1,2,2,0,89,4,3,1,0,0,0,0,2,1,1,0,0,0,0,42,47,89.4,540,113,32,34,94.1,8,8,100,2,3,66.7,2,0.3,0.1,3,3,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,1,3,1,0,3
22,Home,Manchester City,Brentford Home,0,Y,90,7,6,0,1,0,0,0,1,1,0,0,0,0,0,37,46,80.4,597,152,18,19,94.7,18,19,94.7,1,6,16.7,1,0.7,0.3,2,1,4,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,83,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,24,54.2,177,23,6,10,60,4,4,100,1,6,16.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1
23,Away,Aston Villa,Manchester City Home,-2,Y,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,27,70.4,309,76,8,11,72.7,8,10,80,1,2,50,0,0.2,0.1,1,2,3,1,3,2,2,2,0,0,1,2,50,1,1,0,1,1,3,0,0,87,5,2,2,0,1,0,0,1,1,0,0,0,0,0,28,34,82.4,423,125,18,19,94.7,7,9,77.8,3,6,50,1,0.3,0.3,3,3,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1
24,Away,Leicester City,Aston Villa Away,2,Y,90,2,0,1,0,0,1,0,1,0,1,0,0,0,0,29,51,56.9,435,96,18,23,78.3,7,11,63.6,2,8,25,0,0,0.3,0,4,1,1,4,4,2,1,2,1,0,1,0,1,1,0,1,0,4,1,0,83,5,4,0,0,1,0,0,1,1,0,0,0,0,0,28,34,82.4,395,104,16,18,88.9,6,6,100,2,2,100,0,0.3,0.3,3,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2
25,Home,Everton,Leicester City Away,1,Y,90,4,3,1,0,0,0,0,0,0,0,0,0,0,0,28,42,66.7,340,58,14,15,93.3,7,11,63.6,2,5,40,0,0.1,0.1,2,2,0,0,2,2,1,1,0,1,0,1,0,1,2,0,2,1,3,0,0,90,7,4,2,0,1,0,0,0,0,0,0,0,0,0,40,49,81.6,529,95,23,24,95.8,10,14,71.4,2,4,50,0,0.3,0.1,4,0,2,0,3,1,1,0,1,0,1,1,100,0,2,0,2,1,2,2,0,-1
26,Home,Bournemouth,Everton Home,4,Y,81,3,1,1,0,0,0,1,1,0,0,0,0,0,1,27,39,69.2,272,63,24,27,88.9,3,4,75,0,1,0,1,0.5,0,2,1,0,0,1,1,1,0,0,1,0,1,0,1,4,0,4,0,1,0,0,87,3,2,1,0,0,0,0,1,1,0,0,0,0,0,36,41,87.8,457,130,24,27,88.9,8,9,88.9,1,2,50,0,0.2,0.1,2,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,4,1,0,3
27,Away,Fulham,Bournemouth Home,1,Y,90,9,5,3,1,0,0,0,0,0,0,0,0,0,0,57,79,72.2,783,226,39,44,88.6,14,23,60.9,2,5,40,0,0.1,0.2,3,3,4,0,9,3,1,1,0,2,3,3,100,0,0,0,0,0,3,0,0,90,3,2,0,0,1,0,0,1,1,0,0,0,0,0,39,49,79.6,618,119,23,26,88.5,12,13,92.3,4,6,66.7,1,0.2,0.1,2,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,0,1
28,Home,Crystal Palace,Fulham Away,3,Y,71,5,4,1,0,0,0,0,1,1,0,0,0,0,0,28,35,80,373,89,19,21,90.5,6,7,85.7,2,2,100,0,0.1,0.1,1,3,2,0,4,2,1,1,0,1,2,3,66.7,1,0,0,0,0,2,1,0,90,3,1,1,0,0,1,0,1,0,1,0,0,0,0,25,35,71.4,292,74,16,19,84.2,3,7,42.9,1,4,25,0,0,0.1,0,1,0,0,1,2,1,2,0,0,0,1,0,1,3,0,3,0,2,2,0,2
29,Home,Leeds United,Crystal Palace Home,3,Y,90,4,3,1,0,0,0,0,2,2,0,0,0,0,0,25,42,59.5,362,104,17,23,73.9,7,12,58.3,1,5,20,1,0.4,0.2,3,1,1,0,5,1,0,1,0,0,1,2,50,1,2,0,2,0,1,0,0,81,2,1,1,0,0,0,0,1,1,0,0,0,0,0,16,27,59.3,240,48,9,12,75,5,7,71.4,1,2,50,0,0.1,0.1,1,0,0,0,0,1,1,1,0,0,1,1,100,0,1,0,1,0,1,1,0,1
30,Away,Liverpool,Leeds United Home,3,N,31,1,1,0,0,0,0,0,1,1,0,0,0,0,0,9,14,64.3,131,10,6,8,75,2,2,100,1,2,50,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0,89,4,1,0,0,2,0,1,1,1,0,0,0,0,0,18,24,75,255,45,13,15,86.7,4,5,80,1,3,33.3,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,1,2,1,0,1
31,Away,West Ham,Liverpool Away,0,Y,90,5,4,1,0,0,0,0,1,1,0,0,0,0,0,22,34,64.7,296,95,18,21,85.7,3,7,42.9,1,5,20,0,0.8,0.2,3,1,2,0,2,3,2,2,1,0,0,0,0,0,1,0,1,0,3,0,0,90,5,4,1,0,0,0,0,0,0,0,0,0,0,0,29,38,76.3,469,144,16,19,84.2,9,10,90,4,8,50,0,0.7,0.3,4,1,4,1,4,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,0,2
32,Home,Southampton,West Ham Away,0,Y,90,2,0,1,0,1,0,0,0,0,0,0,0,0,0,27,39,69.2,458,100,11,18,61.1,12,14,85.7,3,4,75,0,0,0.1,0,1,0,0,1,2,0,1,1,0,1,1,100,0,4,0,4,1,3,0,0,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,33,69.7,384,86,10,13,76.9,11,12,91.7,2,5,40,0,0,0,0,0,0,0,1,2,2,0,2,0,0,2,0,2,1,0,1,2,4,0,0,0
33,Away,Manchester City,Southampton Home,0,Y,90,10,6,1,2,0,1,0,2,1,0,1,0,0,0,39,50,78,601,190,23,26,88.5,12,16,75,2,5,40,1,0.6,0.5,5,4,5,1,7,3,2,1,0,2,2,3,66.7,1,0,0,0,0,3,0,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,27,70.4,309,76,8,11,72.7,8,10,80,1,2,50,0,0.2,0.1,1,2,3,1,3,2,2,2,0,0,1,2,50,1,1,0,1,1,3,0,0,-2
34,Home,Chelsea,Manchester City Away,-3,Y,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,22,68.2,252,33,7,9,77.8,7,8,87.5,1,5,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,90,4,2,2,0,0,0,0,1,0,1,0,0,0,0,34,47,72.3,474,145,22,23,95.7,8,15,53.3,3,6,50,1,0.9,0.1,3,3,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1
35,Away,Newcastle Utd,Chelsea Home,2,Y,73,5,2,0,2,1,0,0,0,0,0,0,0,0,0,25,34,73.5,375,94,14,16,87.5,9,10,90,1,5,20,0,0.1,0.1,1,0,2,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,90,6,5,0,0,0,1,0,0,0,0,0,0,0,0,26,35,74.3,431,98,13,15,86.7,12,15,80,1,2,50,0,0.1,0.1,3,1,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
36,Home,Brighton,Newcastle Utd Away,2,Y,86,2,2,0,0,0,0,0,1,1,0,0,0,0,0,17,23,73.9,235,57,12,14,85.7,4,4,100,1,4,25,0,0,0,1,0,3,0,4,6,4,1,1,4,2,4,50,2,0,0,0,0,6,0,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,19,47.4,114,30,5,10,50,3,5,60,0,2,0,0,0.1,0.1,1,0,1,0,1,4,2,2,2,0,0,0,0,0,1,0,1,2,6,2,0,2
37,Away,Nott'ham Forest,Brighton Home,-3,Y,90,5,4,0,0,0,1,0,0,0,0,0,0,0,0,20,30,66.7,327,89,13,16,81.3,5,7,71.4,2,6,33.3,0,0,0,1,2,1,0,4,4,1,2,1,1,2,4,50,2,1,0,1,0,4,0,0,26,5,5,0,0,0,0,0,1,1,0,0,0,0,0,15,20,75,229,50,11,13,84.6,3,4,75,1,2,50,1,0.2,0.1,3,0,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,5
38,Home,Wolves,Nott'ham Forest Away,-1,Y,90,3,1,2,0,0,0,0,0,0,0,0,0,0,0,42,55,76.4,589,137,29,29,100,9,12,75,3,8,37.5,0,0.1,0.1,2,0,2,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,89,5,4,1,0,0,0,0,0,0,0,0,0,0,0,40,46,87,624,128,25,25,100,10,13,76.9,5,7,71.4,0,0.3,0.2,3,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
